Date,ALI_F,XLB,PICK,DBB,AA,CENX,KALU,RIO,NHYDY,ACH,CSTM,S32.AX,HINDALCO.NS,1211.HK,601600.SS,1378.HK
2019-01-02,2332.5,25.38999938964844,26.799999237060547,15.09000015258789,26.239999771118164,7.550000190734863,89.3499984741211,47.34999847412109,4.460000038146973,6.510000228881836,7.119999885559082,3.2699999809265137,3.077750765593499,2.031918234504811,0.5089058481832314,0.5425541052309145
2019-01-03,2332.5,24.670000076293945,26.11000061035156,15.18000030517578,26.239999771118164,7.309999942779541,88.16000366210938,46.650001525878906,4.449999809265137,6.46999979019165,6.800000190734863,3.25,2.990280155602136,1.9590576328845648,0.5130372505780549,0.5309237297289896
2019-01-04,2332.5,25.63999938964844,27.479999542236328,15.399999618530272,28.34000015258789,8.380000114440918,93.0999984741211,49.25,4.5,6.5,7.300000190734863,3.2799999713897705,2.9999997829475333,2.009134613862322,0.5195674578745031,0.5325058389091902
2019-01-07,2332.5,25.729999542236328,27.790000915527344,15.5600004196167,28.420000076293945,8.699999809265137,92.95999908447266,49.68999862670898,4.679999828338623,6.510000228881836,7.650000095367432,3.369999885559082,2.99964039517684,2.0044429149052734,0.5270513998152885,0.5502642645542143
2019-01-08,2332.5,26.0,28.01000022888184,15.489999771118164,28.25,8.359999656677246,94.5500030517578,50.29999923706055,4.730000019073486,6.329999923706055,7.639999866485596,3.390000104904175,2.9580290391312216,2.0675661209671605,0.5270072912927236,0.5704950426961355
2019-01-09,2332.5,26.01000022888184,28.5,15.479999542236328,29.100000381469727,8.710000038146973,95.08999633789062,50.84000015258789,4.789999961853027,7.039999961853027,7.980000019073486,3.400000095367432,2.924783045539663,2.0389244773532305,0.5239193102625207,0.6072126008468238
2019-01-10,2332.5,26.239999771118164,28.440000534057617,15.390000343322754,28.979999542236328,8.729999542236328,95.16999816894533,50.59000015258789,4.820000171661377,7.210000038146973,7.769999980926514,3.430000066757202,2.89154581470381,2.00111438245136,0.5223311205792288,0.6022482100125401
2019-01-11,2332.5,26.13500022888184,28.34000015258789,15.470000267028809,28.549999237060547,8.569999694824219,95.9499969482422,50.5099983215332,4.710000038146973,7.360000133514404,7.699999809265137,3.400000095367432,2.910774922940096,2.020021539251645,0.5303867337332139,0.6085580777151725
2019-01-14,2332.5,25.934999465942383,28.190000534057617,15.359999656677246,28.790000915527344,8.529999732971191,94.91999816894533,50.54999923706055,4.679999828338623,7.510000228881836,7.53000020980835,3.400000095367432,2.9295152174268937,1.8858167950483808,0.5309079960978614,0.6186839858501526
2019-01-15,2332.5,25.76499938964844,28.25,15.43000030517578,28.899999618530277,8.149999618530273,94.23999786376952,50.68999862670898,4.630000114440918,7.519999980926514,7.739999771118164,3.400000095367432,2.9331082884622752,1.9530584393652104,0.5349411065122367,0.6401101618834897
2019-01-16,2332.5,25.864999771118164,28.399999618530277,15.539999961853027,28.979999542236328,8.5,97.88999938964844,50.88999938964844,4.849999904632568,7.630000114440918,8.100000381469727,3.3299999237060547,2.93139216478312,1.9591343565753048,0.5332543242900964,0.6412872074610706
2019-01-17,2332.5,26.31999969482422,28.65999984741211,15.739999771118164,29.59000015258789,9.09000015258789,98.26000213623048,51.65999984741211,4.800000190734863,7.329999923706055,8.229999542236328,3.450000047683716,2.8865691328575203,1.8403526066899356,0.5269390054275164,0.6439109219767775
2019-01-18,2332.5,26.7549991607666,28.950000762939453,15.81999969482422,29.270000457763672,9.3100004196167,100.69000244140624,51.63999938964844,4.760000228881836,7.269999980926514,8.289999961853027,3.4100000858306885,2.939594868781868,1.8721577863471603,0.5431413612344363,0.6464363398677393
2019-01-22,2332.5,26.38500022888184,28.190000534057617,15.779999732971191,27.809999465942383,8.819999694824219,96.41000366210938,50.310001373291016,4.590000152587891,7.71999979019165,8.140000343322754,3.359999895095825,2.846853189535074,1.8907045257897104,0.5399202846501757,0.6373161459469144
2019-01-23,2332.5,26.20499992370605,28.299999237060547,15.899999618530272,28.299999237060547,9.06999969482422,96.13999938964844,49.91999816894531,4.590000152587891,7.420000076293945,8.100000381469727,3.3399999141693115,2.884310194043991,1.924564734837039,0.5406199471339125,0.6296258053004149
2019-01-24,2332.5,26.065000534057617,28.36000061035156,15.869999885559082,27.959999084472656,8.850000381469727,95.08999633789062,49.869998931884766,4.599999904632568,7.510000228881836,8.029999732971191,3.309999942779541,2.8816438344414386,1.962996198990644,0.5389486298707905,0.6437098327837908
2019-01-25,2332.5,26.559999465942383,28.920000076293945,16.18000030517578,29.020000457763672,9.029999732971191,96.9800033569336,52.2599983215332,4.679999828338623,7.599999904632568,8.25,3.289999961853028,2.8799831398866025,1.9882236500097177,0.5406918578629623,0.6436236901442107
2019-01-29,2332.5,26.795000076293945,28.729999542236328,16.06999969482422,28.75,8.630000114440918,97.0,54.40999984741211,4.5,7.650000095367432,8.079999923706055,3.369999885559082,2.8070011747254378,1.95863485126736,0.527853150301241,0.6322014832664536
