Model,Total Return,Annual Return,Annual Volatility,Sharpe,Max Drawdown,Calmar,Chosen Pair,Best Lookback,Entries,Exits
Strategy,-0.11929206326618969,-0.07784451175939333,0.23388480582196333,-0.33283270149087735,-0.1993430987798367,-0.39050517542806057,ALI_F vs NHYDY,40,39.0,38.0
Buy&Hold NHYDY,-0.22425953714648883,-0.14956351484945662,0.39185958992438763,-0.38167629093450556,-0.36687899992729045,-0.40766442036501876,ALI_F vs NHYDY,40,,
