Date,ALI_F,XLB,PICK,DBB,AA,CENX,KALU,RIO,NHYDY,ACH,CSTM,S32.AX,HINDALCO.NS,1211.HK,601600.SS,1378.HK
2018-01-02,2244.5,30.69499969482422,35.68000030517578,19.459999084472656,55.16999816894531,21.3799991607666,109.41999816894533,54.75,7.71999979019165,19.3700008392334,11.449999809265137,3.509999990463257,271.8999938964844,23.216665267944336,8.09000015258789,8.899999618530273
2018-01-03,2244.5,30.90999984741211,36.119998931884766,19.26000022888184,54.5,20.479999542236328,109.3499984741211,54.95000076293945,7.559999942779541,19.149999618530277,11.649999618530272,3.5799999237060547,276.5,23.733333587646484,8.09000015258789,9.0600004196167
2018-01-04,2244.5,31.18000030517578,36.0099983215332,19.3700008392334,54.70000076293945,20.540000915527344,110.9000015258789,54.70000076293945,7.570000171661377,19.21999931335449,11.949999809265137,3.559999942779541,279.79998779296875,23.53333282470703,8.09000015258789,9.130000114440918
2018-01-05,2244.5,31.43000030517578,35.939998626708984,19.170000076293945,54.09000015258789,19.940000534057617,110.33999633789062,54.540000915527344,7.539999961853027,19.8700008392334,11.800000190734863,3.650000095367432,276.3999938964844,23.299999237060547,8.09000015258789,9.420000076293945
2018-01-08,2244.5,31.475000381469727,36.59000015258789,19.13999938964844,55.0,19.709999084472656,111.19000244140624,55.650001525878906,7.440000057220459,19.81999969482422,11.850000381469728,3.650000095367432,276.1499938964844,23.36666679382324,8.09000015258789,9.800000190734863
2018-01-09,2244.5,31.424999237060547,36.65999984741211,19.020000457763672,54.20000076293945,19.57999992370605,109.88999938964844,55.7400016784668,7.599999904632568,19.940000534057617,11.75,3.7300000190734863,271.5,23.41666603088379,8.09000015258789,9.800000190734863
2018-01-10,2244.5,31.23500061035156,36.77999877929688,19.13999938964844,56.16999816894531,20.61000061035156,110.12000274658205,56.08000183105469,7.699999809265137,20.280000686645508,11.75,3.690000057220459,268.79998779296875,22.950000762939453,8.09000015258789,10.0600004196167
2018-01-11,2244.5,31.645000457763672,37.369998931884766,19.170000076293945,56.90999984741211,21.01000022888184,113.26000213623048,57.2400016784668,7.769999980926514,20.809999465942383,12.399999618530272,3.7200000286102295,267.75,22.933332443237305,8.09000015258789,10.119999885559082
2018-01-12,2244.5,31.69499969482422,37.81999969482422,19.350000381469727,56.7599983215332,21.739999771118164,112.41000366210938,57.66999816894531,7.760000228881836,20.65999984741211,12.350000381469728,3.869999885559082,268.8500061035156,23.649999618530277,8.09000015258789,10.720000267028809
2018-01-16,2244.5,31.325000762939453,36.77999877929688,19.26000022888184,56.2400016784668,21.149999618530277,110.22000122070312,55.77999877929688,7.599999904632568,21.65999984741211,12.149999618530272,3.9800000190734863,260.54998779296875,23.16666603088379,8.09000015258789,9.989999771118164
